Unnamed: 0,disease,symptoms
380,Hepatitis E,"abdominal cramps, abdominal pain, tenderness in the lower abdomen, abnormal vaginal bleeding, visual unawareness in infants, anal pain, arthritis, bad breath, bleeding from the umbilical cord, bleeding in the brain, bleeding in the joints, bleeding in the mucous membranes, blood in the stool, blood in the urine, blurred vision, body aches, carpal tunnel syndrome, chest pain, chest tightness, chest congestion, chills, clumsiness, confusion, constipation, convulsions, seizures, cough, cracked lips, decreased appetite, decreased memory, decreased urine output, delusions, diarrhea, difficulty breathing, double vision, dribbling at the end of urinating, dry mouth, dry cough, easy bruising, easy bleeding, emotional changes, personality changes, excessive sweating, excessive thirst, eye pain, fainting, drowsiness, fatigue, feeling tired, feeling weak, muscle aches, fever, foamy appearance of urine, forgetting details about current events, frequent urge to urinate, strong urge to urinate, gray cloudiness of the pupil, white cloudiness of the pupil, gritty feeling in the eyes, growth problems, hallucinations, high senses of sight, low senses of sight, headache, headache behind the eyes, impaired growth in children, inability to urinate, incomplete emptying of your bladder, incoordination, intense itching, burning eyes, itching in anal, light sensitivity, long-term pelvic pain, low back pain, loss of appetite, loss of sense of taste, loss of vision, malaise, general discomfortness, irregular menstrual bleeding, unpredictable menstrual bleeding, mouth ulcers, throat ulcers, muscle pain, nasal congestion, nausea, vomiting, needing to urinate at night, nervous system changes, nosebleeds, pain in the abdomen, pain or burning with urination, pain with bowel movements, pain with sexual intercourse, painful periods, poor muscle coordination, poor temper control, prolonged bleeding, prolonged muscle spasms, puffy eyelids, pustules, rapid eye movements, rashes, lower rate of weight gain, rectal bleeding, red eyes, runny nose, severe pain in the nose, burning in the nose, shortness of breath, slowed growth, slowed start of urinary stream, delayed start of urinary stream, sore throat, stupor, lack of alertness, swelling of abdomen, swelling, swollen lymph nodes in the neck, tearing, watery eyes, tenderness of the skin, swelling of the skin, thickened skin, puckered skin, trouble getting pregnant, infertility, trouble staying pregnant, unintentional weight loss, unusual rapid eye movements, unusual sleepiness, unusual tiredness, urinary incontinence, urination changes, vomiting, wasting away of the muscle, watery diarrhea, weak urine stream, weakness with paralysis, wide pupils, dilated pupils, no movement in the eyes, yellow skin, yellow eyes, acute liver failure, agitation, dark urine, decreased vision, delirium, depression, heavy menstrual bleeding, high fever, ill feeling, uneasiness, irritability, joint pain, large-volume, reduced exercise ability, sensation changes, short arms, short legs, speech problems, stomach bleeding, anger, little urine, no urine, paralysis, coma, cramps, reduced exercise ability, sensation changes, short arms, short legs, speech problems, stomach bleeding, anger, little urine, no urine, paralysis, watery, pleurisy, yellowing of eyes, yellowish skin"
381,Hepatopulmonary Syndrome,"clubbing of the fingers, broken blood vessels under the skin, bluish tinge of the lips, skin, shortness of breath"
382,Hht,"nosebleeds, lacy red vessels, tiny red spots, shortness of breath, headaches, seizures"
383,Hiatal Hernia,"heartburn, regurgitation of food or liquids into the mouth, difficulty swallowing, chest or abdominal pain, feeling full soon after you eat, shortness of breath, vomiting of blood, passing of black stools"
384,Hiccups,"uncontrolled spasms in your diaphragm, hic sound, tightening sensation in chest, tightening sensation in stomach area, tightening sensation in throat"
385,Hidradenitis Suppurativa,"blackheads, blood, pus, leaking bumps or sores, bigger lumps, slow-healing wounds, painful pea-sized lumps, odor"
386,High Blood Cholesterol,(no symptoms)
387,High Blood Pressure,"headaches, shortness of breath, nosebleeds"
388,High Blood Pressure In Children,"pounding or fluttering heartbeat (palpitations), shortness of breath, headaches, seizures, vomiting, chest pains"
389,Hip Fracture,"inability to get up from a fall, inability to walk, severe pain in the hip, severe pain in the groin, inability to put weight on the leg, bruising, swelling, shorter leg, outward turning of the leg"
390,Hirschsprungs Disease,"vomiting, constipation, gas, swollen belly, failure to thrive, fatigue, diarrhea, delayed passage of meconium"
391,Histoplasmosis,"weight loss, bloody cough, fever, chills, headache, muscle aches, dry cough, chest pain, tiredness, joint pain, rash"
392,Hiv Aids,"diarrhea, weight loss, cough, night sweats, fever, fatigue, swollen lymph nodes, oral yeast infection (thrush), shingles (herpes zoster), pneumonia, headache, muscle aches, joint pain, rash, sore throat, painful mouth sores, swollen lymph glands, unexplained fatigue, weakness, skin rashes, skin bumps, sweats, chills, recurring fever, chronic diarrhea, persistent white spots, unusual lesions"
393,Hives And Angioedema,"mild pain, warmth, itchy, swelling"
394,Hoarding Disorder,"difficulty getting rid of things, difficulty organizing items, losing important items in clutter, relationship issues, disorganized piles or stacks of items, distress or problems functioning, unsanitary levels"
395,Horner Syndrome,"miosis, anisocoria, dilation of the affected pupil in dim light, ptosis, elevation of the lower lid, lighter iris color, change in color on the affected side of the face, sunken appearance of the affected eye, anhidrosis"
396,Hot Flashes,"blotchy skin, rapid heartbeat, perspiration, chilled feeling, feelings of anxiety, sudden feeling of warmth spreading through your chest, neck, face, flushed appearance with red"
397,Hpv Infection,"painful, susceptible to injury, bleeding, discomfort, grainy bumps that are rough to the touch, discomfort, itch, feel tender"
398,Huntingtons Disease,"involuntary movement problems, impairments in voluntary movements, irritability, obsessive-compulsive disorder, behavioral changes, difficulty paying attention, rapid impulsive behavior, inflated self-esteem, mania, overactivity, difficulty with speech, difficulty swallowing, lack of flexibility, getting stuck on a thought, sadness, apathy, social withdrawal, insomnia, fatigue, loss of energy, thoughts of death, tremors, slight involuntary movements, frequent falls, clumsiness, seizures, rigidity, muscle contracture, dystonia, slow eye movements, unusual eye movements, impaired gait, jerking, writhing movements, chorea, muscle problems, weight loss, elevated mood, depression, acting without thinking, sexual promiscuity, lack of awareness, slowness in processing thoughts, difficulty learning new information, perseveration, lack of impulse control, outbursts, intrusive thoughts, repetitive behaviors, contracted rigid muscles"
399,Hydrocele,"painless swelling, scrotum feel heavy, pain, swollen area"
400,Hydrocephalus,"nausea, vomiting, sleepiness, sluggishness, lethargy, irritability, poor eating, seizures, eyes fixed downward, problems with muscle tone, headache, blurred vision, double vision, abnormal eye movements, unstable balance, poor coordination, poor appetite, loss of bladder control, frequent urination, change in personality, decline in school performance, delays with acquired skills, problems with acquired skills, vision problems, decline in memory, memory loss, difficulty walking, shuffling gait, feeling of feet being stuck"
401,Hypercalcemia,"excessive thirst, frequent urination, stomach upset, palpitations, fainting, lethargy, fatigue, depression, nausea, confusion, vomiting, constipation, bone pain, muscle weakness"
402,Hyperhidrosis,heavy sweating
403,Hyperoxaluria,"severe or sudden back pain, pain in the area below the ribs on the back (flank) that doesn't go away, blood in the urine, frequent urge to urinate, pain when urinating, chills or fever"
404,Hyperparathyroidism,"weak bones that break easily (osteoporosis), kidney stones, excessive urination, stomach (abdominal) pain, tiring easily or weakness, depression or forgetfulness, bone, joint pain, frequent complaints of illness with no clear cause, nausea, vomiting, loss of appetite"
405,Hypertension,"dizzy, lightheaded, headache, chest pain, dizziness, anxious, unstable, problems focusing, balance issues, sick to my stomach, trouble concentrating, unsteady, difficulty concentrating, chest discomfort, pains all over my body, off balance, trouble standing up straight"
406,Hypertension ,"abdominal pain, abdominal wall defect, abnormal coloring of the retina, abnormal shape of the lens, abnormal urine color, awakening at night short of breath, back pain, being afraid of losing control in a public place, being afraid of places where escape might be hard, being afraid of spending time alone, blood in the urine, bone pain or tenderness, chills, clay-colored stools, concerns about things that are not true (delusions), confusion, corneal erosion, cough, creases in ear lobes, crossed eyes, curvature of spine, darkening of the skin, deafness, decreased peripheral vision, decreased urine output, depending on others, difficulty closing one eye, difficulty eating, drinking because food falls out of one side of the mouth, difficulty getting up from the floor, climbing stairs, difficulty walking, difficulty with running, drooling, drooping of the face, dry eye, dry mouth, eats alone (in secret), eats even though not hungry, eats food very fast each time, eats large amounts of food in a short period, enlargement of some organ, excess involvement in activities, excessive thirst, fatigue, feeling detached or separated from others, feeling helpless, feeling like the world is spinning around you, feeling like you are spinning or moving, feeling that the body is not real, feeling that the environment is not real, feels guilty, fever, flank pain, frequent falls, hand tremor, having an unusual temper or agitation, headache, hearing loss, high blood pressure, hives, impaired heart function, incoordination, increased need to urinate, intense itching, burning eyes, is not able to control overeating, itching, keeps eating even when full (gorging) or until uncomfortably full, lack of self-control, reckless behavior, large size for a newborn, large tongue (macroglossia), light sensitivity, lighter than normal skin, hair, lightheadedness, little need for sleep, liver failure, loss of appetite, loss of balance, loss of feeling in hands, feet, loss of muscle function or paralysis of the lower legs, loss of muscle mass, loss of sense of taste, low blood sugar, macular hole, malaise, mouth, throat ulcers, muscle twitching, muscle weakness in the arms, nasal congestion, nausea, vomiting, no color in the hair, numbness, tingling of hands or feet, obesity, overgrowth of one side of the body, pain in the arms or legs, patches of missing skin color, pneumonia, poor judgment, poor muscle coordination, poor temper control, problems smiling, problems with smell, progressive kidney failure, prolonged muscle spasms, protruding abdomen, puffy eyelids, rapid eye movements, rapid heart rate, rapid speech, rashes, red birth mark on forehead or eyelids, red eyes, runny nose, shock, shortness of breath, slowed growth, slurred speech, difficulty swallowing, sneezing, sore throat, sound that is louder in one ear, speech problems, staying in the house for long periods, stool abnormalities, strange eye movements, stringy eye discharge, stupor, swelling of legs, tearing, toe walking, tumor growth, unintentional weight loss, urinary incontinence, very irritable mood, vision problems, visual impairment, blindness, walking difficulty, weakness of the face or facial asymmetry, wheezing, widened blood vessels in the clear tissue covering the white of the eye, yellowing of skin, whites of the eyes, abnormally foul-smelling stools, false beliefs about self or abilities, jumping, ashamed, chest pain, disgusted, dizziness, easily distracted, frothy stools, general swelling, grimacing, hopping, ill feeling or uneasiness, fatty stools, pale stools, lack of concentration, neck, racing thoughts, skin, slow intellectual development, talking a lot, weakness, eye sores, infections"
407,Hyperthyroidism,"abnormal vaginal bleeding between periods, acting or looking overly seductive, becoming easily tired, being easily influenced by other people, being overly concerned with their looks, being overly dramatic, emotional, being overly sensitive to criticism or disapproval, believing that relationships are more intimate than they actually are, blaming failure or disappointment on others, bleeding after sex, bleeding in the brain, bleeding or spotting from the vagina between periods, blisters in the mouth, blood clots, bone pain or tenderness, burning near the lips or mouth area, burning sensation when urinating, changes in mental status, changes in muscle tone, chest pain, chills, confusion, constantly seeking reassurance or approval, convulsions (seizures), cough, croup-like (barking) cough, decreased appetite, deep sleep that lasts for a day or longer, difficulty breathing, difficulty fitting shoes, difficulty sleeping, difficulty swallowing, discoloration, dry skin, enlarged lymph nodes, episodes of confusion, failure to gain weight, fainting/drowsiness, fatigue, feeling weak or tired more often than usual, fever, chills that come, go, fever, foot pain, headache, heartburn, heavy menstrual periods, hoarse cry, increased muscle tone, increased sleep time, infections that keep coming back, intense itching or burning eyes, intestinal infection, irritability, itching, joint pain, joint stiffness, light sensitivity, loss of appetite, loss of muscle tone, mineral deposits in the brain, mouth pain, mouth sores, muscle cramps, muscle pain, muscle spasms, muscle weakness in the arms, nausea, vomiting, needing to be the center of attention, night sweats, numbness, tingling of fingers, toes, pain in the abdomen, pain or burning with urination, pain with sexual intercourse, painful menstrual periods, palpitations, periods that become heavier, last longer than usual, pneumonia, pressure or heaviness in the pelvis, quickly changing emotions, rashes, red skin bumps, redness, respiratory failure, shallow breathing, short stature, shortened foot length, shortness of breath, skin redness, sleep apnea, sleepiness, slow, labored breathing, small pits, sore throat, spasms of the stomach, intestines, stiffness in the neck, stroke symptoms, stupor, sudden collapse, sudden stroke-like symptoms, sweating at night, swelling, redness, swelling, swollen glands, swollen gums, tenderness, swelling of the skin on the arms, throbbing pain with itching or burning sensation, time between periods changes each month, tingling near the lips or mouth area, tumor growth, ulcers in the mouth, throat, uncoordinated eye movements, unintentional weight loss, unusual sleepiness or tiredness, vaginal bleeding after douching or intercourse, vaginal discharge, weakness or numbness of arms, wheals, irregular heartbeat, pounding of the heart, drooping on one side of the face, diarrhea, enlarged thyroid gland, excessive hunger, fast heartbeat, mood swings, muscle weakness, weight loss, sleep problems, cough with or without sputum production, difficulty swallowing liquids, solids, discoloration of skin, discoloration of skin areas exposed to sunlight, dry cough, fatigue(feeling tired), fever with chills, sweating, having a low tolerance for frustration or delayed gratification, itching all over the body that cannot be explained, itching of the lips or skin around the mouth, loss of balance, muscle weakness in the arms, pain with sexual intercourse, rashes that are usually the same size, shape on both sides, stroke symptoms, sweating at night, swelling due to the body keeping in fluid (may be seen in the legs, and feet), unable to focus, unusual vaginal discharge that does not go away: discharge may be gray, or foul-smelling, vaginal discharge that does not stop, weakness of an arm or leg, wheals may get bigger, wheals often change shape, abnormal_menstruation, ankles, anxiety, irritability. tremor, bloody, brittle hair, brown, cheeks, depression, drooling, especially muscle spasms, uncontrolled movements, face, fine, gums, hands, including: losing weight without trying. fast heartbeat, joint appears warm, red, legs, liver, lumps, moist skin. thinning skin, neck, painful, hardened tissue in the area of the anus, pink, raised skin, reduced exercise ability, restlessness, roof of the mouth, slow response or thinking, spread, such as confusion, sweating, they form ulcers in the mouth, usually a small trembling in the hands, fingers. sweating, warm, watery, weakness, weakness of an arm or leg, when muscles involved in breathing become weak, when the heartbeat gets too slow or even stops, which may appear as a swelling at the base of the neck. tiredness, which may seem shallow to others, which worsens when you breathe in deeply (pleurisy), white or yellow in color"
408,Hypertrophic Cardiomyopathy,"chest pain, fainting, heart murmur, palpitations, shortness of breath"
409,Hypoglycemia,"lump in or near the anus, abdominal cramps, abdominal discomfort, abdominal pain, anxiety, anxiety, a feeling of doom, behavioral disturbances, bladder or bowel problems, blisters on the skin, bloating or abdominal gas, blood in the urine, bone, joint pain, bone pain or tenderness, changes in muscle tone, chest deformities, chest pain, chest tightness or congestion, chills, constipation, convulsions (seizures), cough, decreased appetite, decreased sweating on the affected side of the face, decreased urine output, delusions, diarrhea, different sizes of pupils of the eyes (anisocoria), difficulty breathing, difficulty sleeping, discomfort that feels like tightness, double vision, drenching night sweats, drooping eyelids, dry cough, easy bruising, abnormal bleeding, easy bruising, bleeding, enlarged lymph nodes, excessive thirst, fainting/drowsiness, fast or irregular heartbeat, fatigue, feeling full after only a few bites, feeling very tired all the time, fever, chills that come, go, fever-- usually low-grade, fever with chills, sweating, fluid buildup in the legs (edema), in the abdomen (ascites), flush across the cheeks, fragile bones of the limbs, spine that can break easily, frequent, strong urge to urinate, hallucinations, hearing loss, heavier bleeding, high arches of the feet, high blood pressure, hives (urticaria), hoarseness, intellectual disability, irritability, irritation in skin, itching all over the body that cannot be explained, joint pain, kidney stones, knock knees, lack of coordination, lethargy, liver failure, long limbs, loss of appetite, low blood pressure, low level of one or more types of blood cells, malaise, mental disorders, moodiness, muscle twitching, nausea, vomiting, nearsightedness, new rash with tender, one sided neck, ear pain, open sores with dead tissue (necrotic ulcers), overreaction of the involuntary (autonomic) nervous system to stimulation (hyperreflexia), pain in the abdomen, pain or feeling of fullness below the ribs from an enlarged liver or spleen, pain or fullness in the upper left belly (enlarged spleen), pale skin, pale skin color, palpitations, paranoia, psychosis, rapid respiratory rate, rashes, rectal bleeding, rectal discharge or pain, rectal pain while having a bowel movement (tenesmus), redness, restlessness, shallow breathing, shortness of breath, sinking of the eyeball into the face, skin sores mostly located on the legs, sleep apnea, slow, labored breathing, small pits, spidery fingers, stomach pain on the left side, stroke symptoms, stupor (lack of alertness), sudden stroke-like symptoms such as trouble speaking, swelling (edema) in any area of the body, swollen lymph nodes in the neck, symptoms of chronic liver disease, tenderness in anus swollen part, trouble falling asleep on most nights, unintentional weight loss, vertigo with nausea, vomiting, vomiting, watery diarrhea, weakness of the face or facial asymmetry, yellowing of skin, whites of the eyes (jaundice), agitation, blurred, distorted vision, burning, chest pain, choking, depression, drooping on one side of the face, drying, tingling lips, excessive hunger, fever, general swelling, headache, looking pale, shakiness, sweating, hunger, irregular heartbeat, dizziness, lightheadedness, tingling or numbness of the lips, unresponsiveness, seizures, ill feeling or uneasiness, confusion, slurred speech, nightmares, tearing, unusual behavior, weakness, reduced exercise ability, loss of coordination, blurry vision or tunnel vision"
410,Hyponatremia,"nausea, vomiting, headache, confusion, loss of energy, drowsiness, fatigue, restlessness, irritability, muscle weakness, spasms or cramps, seizures, coma"
411,Hypoparathyroidism,"tingling, burning, fatigue, weakness, painful menstrual periods, patchy hair loss, dry skin, coarse skin, brittle nails, depression, anxiety, twitching, spasms of muscles, muscle aches, cramps in the legs"
412,Hypoplastic Left Heart Syndrome,"grayish-blue color of the lips, gums (cyanosis), rapid, clammy skin, pale skin, bluish-gray lips, weak, rapid pulse, slow, shallow breathing, very rapid breathing, dull eyes that seem to stare, difficult breathing, poor feeding, cold hands, feet, weak pulse, being unusually drowsy, being inactive"
413,Hypospadias,"opening of the urethra at a location other than the tip of the penis, downward curve of the penis (chordee), hooded appearance of the penis, abnormal spraying during urination"
414,Hypothermia,"shivering, slurred speech or mumbling, slow, cold skin, shallow breathing, weak pulse, clumsiness or lack of coordination, drowsiness or very low energy, confusion or memory loss, loss of consciousness"
415,Hypothyroidism,"lump in or near the anus, abdominal pain, abdominal pain, tenderness in the lower abdomen, abnormal urine color, anal pain, anxiety, bad breath, bleeding gums, bleeding in the joints, bleeding that starts without cause, bleeding, swelling (rare) in the gums, bloating or abdominal gas, blood clots, blood in the stool, blood in the urine, blood pressure drop with position that causes dizziness when standing, blurred vision, bone, joint pain, breath odor, metallic taste in the mouth, bright red or reddish-purple gums, changes in mental status or mood, chronic weight loss, clammy skin, clay-colored stools, cloudy, decreased appetite (may also be increased or unchanged), decreased urine output, difficulty breathing, difficulty swallowing -- choking easily, difficulty swallowing liquids, solids, discoloration of skin areas exposed to sunlight, dry mouth, ear noise/buzzing (also called pulsatile tinnitus), easy bruising, bleeding, eye pain, fainting/drowsiness, fatigue(feeling tired), fever-- usually low-grade, foamy appearance of urine, foul or strong urine odor, gastrointestinal tract, urinary tract bleeding, headache, headache behind the eyes (typically during fever), headache between the eyes, headache if there is an infection such as lyme disease, headaches that come, go, hearing loss, hearing problems, high blood pressure, hoarseness, inability to fully extend the joints from birth, irritability, itching, itching in anal, joint pain, joint stiffness, joint swelling, joints that are fixed in a contracted position, large sore (ulcer) in the area of the bite, learning disabilities, lethargy, loose joints, loss of appetite, loss of vision, low blood pressure, low level of one or more types of blood cells, malaise(general discomfortness, mood swings, moodiness, mouth, throat ulcers, muscle twitching, nausea, vomiting, no longer being able to pass gas, nosebleeds, other rashes on the head of the penis, pain in the abdomen, pain in the face or one ear, pain in the right upper abdomen, pain in throat, pain with bowel movements, painless bright red blood from the rectum, pale color of the arm or leg (pallor), pale skin, problem speaking, quick mood changes, rainbow-like halos around lights, rapid heart rate, rash, rashes, red eyes, restlessness, separated joints between the bones of the skull (sutures), severe pain in the throat, shallow breathing, shortness of breath, skin sore or rash that starts suddenly, slight blurring of vision due to excess oil in tears, slow, labored breathing, slurred speech or difficulty swallowing, smooth surface of the tongue, stupor (lack of alertness), swelling of abdomen, swelling due to the body keeping in fluid (may be seen in the legs, swollen gums, tenderness, swelling of the skin on the arms, throat swelling, throbbing headache, tooth abnormalities, ulcers in the mouth, throat, unintentional weight loss, unusually smooth, urine that smells like maple syrup, vision problems, vomiting, vomiting blood, yellowing of skin, whites of the eyes (jaundice), abnormal_menstruation, breast swelling, brittle_nails, chest pain, cold_hands_and_feets, coughing, dark urine, deep pain near or over the shoulder blade, depression, diarrhea, dizziness, drooling, enlarged_thyroid, fatigue, fever, foggy, fuzzy, general swelling, hip, ill feeling or uneasiness), impotence, irritability, lethargy, mood_swings, numbness along your shoulder, pain that moves to the upper arm, pain get worse after standing or sitting, pain get worse at night, pain get worse when sneezing, pain get worse when straining or holding your breath, pain gets worse when bending backward or walking more than a few yards or meters, pain in tonsil area, pain or numbness on the back of the calf or sole of the foot, pain when moving your neck, pale tongue surface, lack of taste buds, decrease in sense of taste, puffy_face_and_eyes, sharp pain in one part of the leg, shrinking of the testicles, small pinpoint red marks on the skin (petechiae), such as when having a bowel movement, swollen_extremeties, unable to pass stools, upper part of the abdomen; pain is intense, weakness, weight gain, weight_gain, widely-spaced teeth"
416,Idiopathic Thrombocytopenic Purpura,"bruising, bleeding, rash, blood in urine, blood in stools, heavy menstrual flow"
417,Iga Nephropathy,"blood in urine, protein in urine, red blood cells in urine, cola- or tea-colored urine, foamy urine, pain in back, swelling in hands, swelling in feet, high blood pressure"
418,Impetigo,"hematuria, fluid-filled blisters, chest pain, chills, coma, convulsions, seizures, cough, coughing up blood, mucus, abdominal pain, cramping, barking cough, deformed ears, difficulty eating, difficulty drinking, difficulty swallowing, choking easily, ear pain, easy scarring, poor wound healing, fatigue, flat feet, foul urine odor, strong urine odor, fragile bones, hearing loss, heavier bleeding, fever, headache, sores, rashes, weakness, itchy, oozing, inflamed, dry skin, blisters, burning feeling, redness on skin, weeping, high fever, irritability, itching, lethargy, nausea, vomiting, one sided neck, ear pain, pain in abdomen, pain with urination, burning with urination, pain or discomfort in breasts, poor muscle tone, rapid respiratory rate, tinnitus, runny nose, shortness of breath, small pits, spine curvatures, kyphosis, lordosis, spine that curves, missing red reflex, unintentional weight loss, unusual sleepiness, unusual tiredness, urination changes, urination difficulty, urine smells like maple syrup, burning sensation, high temperature, red sores, red_sore_around_nose, skin_rash, body pain, little urine, no urine, difficult sleep, large jaw, large tongue, muscle rigidity, rupturing sores, honey-colored crust, raised sores, itchy, gagging, pain in back, skin tags, urination stops, pain when sneezing, pain when moving head, painful, ulcers, cough, coughing, dark urine, drooling, neck muscles, excessive urination, lumps, neck, yellow_crust_ooze, cough"
419,Incompetent Cervix,"discomfort, spotting, pelvic pressure, backache, abdominal cramps, change in vaginal discharge, vaginal bleeding"
420,Infant Jaundice,"yellowing of the skin, yellowing of the whites of the eyes"
421,Infectious Diseases,"fever, diarrhea, fatigue, muscle aches, coughing"
422,Infertility,"not getting pregnant, changes in hair growth, changes in sexual function, irregular menstrual periods, absent menstrual periods"
423,Inflammatory Bowel Disease,"diarrhea, fatigue, abdominal pain, cramping, blood in your stool, reduced appetite, unintended weight loss"
424,Inflammatory Breast Cancer,"heaviness, visible enlargement of one breast, discoloration, thickness, pain, aching, enlarged lymph nodes under the arm, pink or bruised appearance, unusual warmth of the affected breast, dimpling, ridges on the skin, rapid change in the appearance of one breast, tenderness"
425,Ingrown Hair,"swollen bumps, blisters, pus, hyperpigmentation, burning, stinging, itching, hair in the shape of a loop"
426,Ingrown Toenails,"pain, tenderness, inflamed skin, swelling, infection"
427,Inguinal Hernia,"bulge, coughing, heavy or dragging sensation in your groin, weakness in your groin, pressure in your groin, straining during a bowel movement, irritable, less appetite, burning sensation at the bulge, aching sensation at the bulge, pain in your groin, discomfort in your groin, pain, swelling around the testicles, crying, purple, dark, inability to move your bowels, inability to pass gas, vomiting, fever, sudden pain that quickly intensifies, nausea"
428,Insomnia,"difficulty falling asleep at night, waking up during the night, waking up too early, not feeling well-rested after a night's sleep, daytime tiredness or sleepiness, irritability, depression, anxiety, difficulty paying attention, focusing on tasks, remembering, increased errors or accidents, ongoing worries about sleep"
429,Intermittent Explosive Disorder,"rage, irritability, increased energy, racing thoughts, tingling, tremors, palpitations, chest tightness, temper tantrums, tirades, heated arguments, shouting, slapping, impulsivity, regret, embarrassment, tiredness, remorse"
430,Interstitial Cystitis,"pain in your pelvis, pain between the vagina, anus, pain between the scrotum, anus, chronic pelvic pain, urgent need to urinate, frequent urination, pain or discomfort while the bladder fills, pain during sex"
431,Intestinal Obstruction,"crampy abdominal pain, loss of appetite, constipation, vomiting, inability to have a bowel movement, inability to pass gas, swelling of the abdomen"
432,Intracranial Hematoma,"headache, vomiting, drowsiness, loss of consciousness, dizziness, confusion, unequal pupil size, slurred speech, paralysis, lethargy, seizures, unconsciousness"
433,Intussusception,"belly pain, nausea, vomiting, loud crying, stool mixed with blood, mucus, lump in the belly, weakness, lack of energy, diarrhea"
434,Invasive Lobular Carcinoma,"thickening in part of the breast, fullness or swelling in the breast, change in the texture or appearance of the skin over the breast, dimpling, thickening, inverted nipple"
435,Iritis,"eye redness, discomfort, achiness, sensitivity to light, decreased vision"
436,Iron Deficiency Anemia,"poor appetite, dizziness, lightheaded, cold hands, feet, inflammation of tongue, soreness of tongue, brittle nails, unusual cravings, fast heartbeat, shortness of breath, headache, extreme fatigue, weakness, pale skin, chest pain"
437,Ischemic Colitis,"pain, atrial fibrillation, kidney disease, passage of blood alone without stool, feeling of urgency to move your bowels, diarrhea, nausea, tenderness or cramping in your belly, bright red or maroon blood in your stool"
438,Itchy Skin,"itchy skin, inflamed skin, scratch marks, bumps, cracked skin, leathery patches, scaly patches, spots, blisters, dry skin"
439,Jaundice,"abnormal breathing pattern, abnormal vaginal bleeding, anxiety, blisters, bloody sputum, bluish color to the lips, face (cyanosis), bone pain or tenderness, breath odor, metallic taste in the mouth, burning sensation when urinating, change in attention (inattentiveness), chest tightness or congestion, chills, clay-colored stools, clubbing of fingers, cold arm or leg, confusion, convulsions (seizures), cough, coughing up blood, coughing up foul-smelling, decreased coordination of movements (ataxia), decreased or no pulse in an arm or leg, decreased urine output, decreasing mental development, delayed walking, difficulty breathing, difficulty sleeping, difficulty swallowing liquids, solids, discharge from the penis or rectum, discoloration of skin (coffee-with-milk-colored spots), discoloration of skin areas exposed to sunlight, dry skin all over the body, ear discharge or bleeding, enlarged blood vessels in skin of nose, enlarged blood vessels in the whites of the eyes, excessive sweating, fainting/drowsiness, fatigue(feeling tired), fever-- usually low-grade, headache, headaches, heavy menstrual periods, incoordination, increased infections in the lungs, itching, jerky eye movements (nystagmus), joint pain, joint stiffness, joint swelling, lack of movement in the arm or leg, loss of ability to exercise, loss of appetite, malaise(general discomfortness, muscle pain, nail abnormalities, nausea, vomiting, neck stiffness that gets worse over time, numbness, tingling of hands or feet, numbness or abnormal sensations in the shoulders or arms, pain in the abdomen, pain in the upper right abdomen that may radiate to the back, pain in the vagina, pain on the inside of the shoulder blade, shoulder pain, painful sexual intercourse, painful urination, pale color of the arm or leg (pallor), palpitations, passing worms in stool, periods that become heavier, last longer than usual, poor judgment, premature graying of the hair, pressure or heaviness in the pelvis, pulling in of the skin between the ribs when breathing (intercostal retractions), rashes, raw areas of the skin from scratching, rectal discharge or pain, redness, warmth of the skin around a joint, reduced ability to move the joint, seeing food or tube feed material in your sputum, sensitivity to radiation, severe respiratory infections that keep coming back (recurring), shortness of breath, silver hair, skin color changes, skin redness, skin sores (lesions), speech disorder, symptoms of pelvic inflammatory disease (pid), tenderness or pain in the testicles, thickened or leather-like areas, unintentional weight loss, unusual vaginal discharge that does not go away, vaginal bleeding after douching or intercourse, vaginal discharge that does not stop, vaginal itching, vision problems, weakness of an arm or leg, wheezing, white or yellow mucus (leukorrhea), worms leaving the body through the nose or mouth, yellowing of skin, whites of the eyes (jaundice), abdominal_pain, brown, chest pain, coughing up worms, dark urine, dark_urine, dizzy, ears, fatigue, feeling really tired, fever, greenish or dark phlegm (sputum), have a fever, high_fever, itching, jerky gait, lost weight, nausea, pink, sick to my stomach, unsteadiness, vomiting, weakness, weight_loss, yellowish_skin"
440,Jellyfish Stings,"burning, dizziness or confusion, difficulty breathing, heart problems, nausea, vomiting, headache, muscle pain or spasms, faintness, prickling, stinging pain, welts or tracks on the skin, itchiness (pruritus), swelling, throbbing pain that radiates up a leg or an arm, stomach pain"
441,Jock Itch,"reddened area of skin, rash, blisters, burning, itchy, flaky skin, scaly skin"
442,Juvenile Idiopathic Arthritis,"pain, fever, rashes, swollen lymph nodes, rash, limps, swelling, stiffness"
443,Kawasaki Disease,"fever, rash, enlarged lymph node, red eyes, cracked lips, red skin on palms, soles, abdominal pain, diarrhea, irritability, joint pain, vomiting, swollen tongue, peeling of skin on fingers, toes"
444,Keratoconus,"blurred or distorted vision, increased sensitivity to bright light, glare, frequent changes in eyeglass prescriptions, sudden worsening or clouding of vision"
445,Kidney Cancer,"blood in your urine, pain in your back, pain in your side, loss of appetite, unexplained weight loss, tiredness, fever"
446,Kidney Cysts,"dull pain in the back, dull pain in the side, fever, upper stomach pain"
447,Kidney Failure,"decreased urine output, fluid retention, shortness of breath, fatigue, confusion, nausea, weakness, irregular heartbeat, chest pain or pressure, seizures, coma"
