,prognosis,symptoms,diagnosis
5288,,"Acting or looking overly seductive,Being easily influenced by other people,Being overly concerned with their looks,Being overly dramatic and emotional,Being overly sensitive to criticism or disapproval,Believing that relationships are more intimate than they actually are,Blaming failure or disappointment on others,Constantly seeking reassurance or approval,Having a low tolerance for frustration or delayed gratification,Needing to be the center of attention (self-centeredness),Quickly changing emotions, which may seem shallow to others",Hyperthyroidism
5289,,"Headache,fever,Fever-- usually low-grade,Night sweats,diarrhea,Pneumonia(lung infection),Sore throat,Muscle pain,Enlarged lymph nodes, liver, or spleen,Intestinal infection",Hyperthyroidism
5290,,"Itching,Swelling of the surface of the skin into red- or skin-colored welts (called wheals) with clearly defined edges,Wheals may get bigger, spread, and join together to form larger areas of flat, raised skin,Wheals often change shape, disappear, and reappear within minutes or hours, it is unusual for a wheal to last more than 48 hours",Hyperthyroidism
5291,,"Unintentional weight loss,Loss of appetite,Swollen lymph nodes in the neck, under arms, and groin,Feeling very tired all the time,Fever and chills that come and go,Itching all over the body that cannot be explained,Drenching night sweats",Hypoglycemia
5292,,"Intellectual disability,Chest deformities,Flush across the cheeks,High arches of the feet,Knock knees,Long limbs,Mental disorders,Nearsightedness,Spidery fingers",Hypoglycemia
5293,,"Pale skin,Nausea and vomiting,Cough,Fatigue(Feeling Tired),fever,Loss of appetite,Fever-- usually low-grade,Bloating or abdominal gas,diarrhea,Rashes,Abdominal discomfort",Hypoglycemia
5294,,"Lack of coordination,Hearing loss,weakness,Hoarseness,Drooping eyelids,Bladder or bowel problems,Double vision,Decreased sweating on the affected side of the face,Sinking of the eyeball into the face,Different sizes of pupils of the eyes (anisocoria) with the affected side pupil being smaller,Vertigo (sensation that surroundings are spinning) with nausea and vomiting,One sided neck and ear pain,Overreaction of the involuntary (autonomic) nervous system to stimulation (hyperreflexia)",Hypoglycemia
5295,,"Hallucinations,Irritability,Restlessness,Behavioral disturbances,Moodiness,Paranoia,Psychosis",Hypoglycemia
5296,,"Nausea and vomiting,Stupor (lack of alertness),Fatigue(Feeling Tired),Loss of appetite,Bone pain or tenderness,Constipation,Muscle twitching,Excessive thirst,Frequent and strong urge to urinate",Hypoglycemia
5297,,"Nausea and vomiting,Fatigue(Feeling Tired),Loss of appetite,Bone pain or tenderness,Delusions, depression, and agitation,Kidney stones,Frequent and strong urge to urinate,Fragile bones of the limbs and spine that can break easily",Hypoglycemia
5298,,"Cough,Unintentional weight loss,Shortness of breath,fever,Loss of appetite,Malaise(general discomfortness,ill feeling or uneasiness),Chills,Dry cough",Hypoglycemia
5299,,"New rash with tender, purple or brownish-red spots over large areas,Skin sores mostly located on the legs, buttocks, or trunk,Blisters on the skin,Hives (urticaria), may last longer than 24 hours,Open sores with dead tissue (necrotic ulcers)",Hypoglycemia
5300,,"Feeling full after only a few bites,Pain or fullness in the upper left belly (enlarged spleen),Low level of one or more types of blood cells,Stomach pain on the left side",Hypoglycemia
5301,,"Unintentional weight loss,Fatigue(Feeling Tired),Excessive sweating,Anxiety,Hand tremor,Sleep problems,Restlessness,Difficulty in thinking,Enlarged neck or presence of goiter, which may be the only early symptom,Hair loss,Constant urge to have a bowel movement,Menstrual bleeding that is not regular or predictable,Increased appetite,Heat intolerance,Nervousness",Osteoarthritis
5302,,"Fainting/Drowsiness,Fatigue(Feeling Tired),Shortness of breath that gets worse with activity,Lightheadedness,Palpitations,chest pain",Osteoarthritis
5303,,"Fainting/Drowsiness,Nausea and vomiting,Headache,Bone pain or tenderness,Vision problems, or functional blindness,Irritability,Blurred vision,Failure to gain weight,Double vision,Decreased appetite (may also be increased or unchanged),Changes in alertness (usually more alert in the morning, less alert at night)",Osteoarthritis
5304,,"Increased need to urinate,Fatigue(Feeling Tired),Dehydration,Loss of appetite,High blood pressure,Constipation,Excessive thirst,Irritability,Vomiting,Muscle weakness",Osteoarthritis
5305,,"Light sensitivity,Vision problems, or functional blindness,Eye pain,Bleeding in the anterior chamber of the eye",Osteoarthritis
5306,,"Loss of interest in sex,Loss of menstrual periods,Infertility,n boys, no development of sex characteristics, such as enlargement of the testes and penis, deepening of the voice, and facial hair,In girls, a lack of breast development and menstrual periods",Osteoarthritis
5307,,"Fatigue(Feeling Tired),Shortness of breath,Headache,Lightheadedness,Difficulty in thinking,Pale skin due to anemia (pallor)",Osteoarthritis
5308,,"Nosebleeds,Easy bruising and bleeding,Heavy menstrual periods,Bleeding into the skin, often around the shins, causing a skin rash that looks like pinpoint red spots (petechial rash)",Osteoarthritis
5309,,"One or many blisters that are filled with pus and easy to pop, in infants, the skin is reddish or raw-looking where a blister has broken,Blisters that itch are filled with yellow or honey-colored fluid and ooze and crust over, rash that may begin as a single spot but spreads to other areas due to scratching,Skin sores on the face, lips, arms, or legs that spread to other areas,Swollen lymph nodes near the infection",Osteoarthritis
5310,,"Trouble falling asleep on most nights,Feeling tired during the day or falling asleep during the day,Not feeling refreshed when you wake up,Waking up several times during sleep",Osteoarthritis
5311,,"Clay-colored stools,dark urine,Yellow color inside the mouth",Arthritis
5312,,"Hearing loss,Mild to severe pain,Inflammation of ear canal",Arthritis
5313,,"Small bumps that look like ""goose bumps"" on the back of the upper arms and thighs,Bumps feel like very rough sandpaper,Skin-colored bumps are the size of a grain of sand,Slight pinkness may be seen around some bumps,Bumps may appear on the face and be mistaken for acne",Arthritis
5314,,"Nausea and vomiting,Blood in the urine,Chills,Abnormal urine color,Pain may be felt in the belly area or side of the back,Pain may move to the groin area (groin pain), testicles (testicle pain) in men, and labia (vaginal pain) in women",Arthritis
5315,,"Trouble getting or staying pregnant (infertility),Urethra on the underside of the penis,Testicles that have not moved into the scrotum,Being slow to sit up, walk, crawl, and speak,Delayed puberty,Enlarged breasts,Small penis size,Sexual problems",Arthritis
5316,,"Convulsions (seizures),Loss of vision,Hearing loss,Changes in muscle tone, especially muscle spasms and uncontrolled movements,Irritability,Trouble feeding,Vomiting,Failure to thrive",Arthritis
5317,,"Shock,Fatigue(Feeling Tired),Lethargy,diarrhea,Rashes,Irritability,Failure to gain weight,Changes in skin pigment,Increased and more severe infections due to damaged immune system,Hair changes (change in color or texture),Large belly that sticks out (protrudes)",Arthritis
5318,,"Lack of coordination,Difficulty swallowing liquids and solids,Headache,Pain in the arms or legs,tremor in full body,Walking difficulty",Arthritis
5319,,"Fainting/Drowsiness,Nausea and vomiting,Hearing loss,Ringing (tinnitus) in the affected ear,Loss of balance,Vertigo (sensation that surroundings are spinning) with nausea and vomiting,Your eyes moving on their own, making it hard to focus them",Arthritis
5320,,"Hoarseness,fever,Fever-- usually low-grade,Swollen lymph nodes in the neck, under arms, and groin",Arthritis
5321,,"Difficulty breathing,Difficulty swallowing liquids and solids,Nosebleeds,Mouth and throat ulcers,Runny nose,Skin sores (lesions),stuffy nose",Vertigo
5322,,"Muscle weakness,Weakness or numbness of arms, legs, face,Skin lesions that are lighter than your normal skin color,Lesions that have decreased sensation to touch, heat, or pain,Lesions that do not heal after several weeks to months",Vertigo
5323,,"Nausea and vomiting,Headache,fever,diarrhea,Chills,Muscle pain,Dry cough",Vertigo
5324,,"Tenderness or pain in the testicles,Infertility,Enlargement of a testicle or change in the way it feels,Excess growth of breast tissue,Heaviness in the scrotum,Lump or swelling in either testicle",Vertigo
5325,,"Weakness of the face or facial asymmetry,Palpitations,Numbness or abnormal sensations in the shoulders or arms,Low back pain, radiating along both legs,Abnormal, sometimes waddling, walk,Joints that are fixed in a contracted position,Large and muscular-looking calves (pseudohypertrophy), which are not actually strong,Loss of muscle mass, thinning of certain body parts",Vertigo
5326,,"Shock,Lethargy,Loss of appetite,Yellowing of skin and whites of the eyes (jaundice),Rashes,Vomiting,Respiratory distress or failure",Vertigo
5327,,"Fatigue(Feeling Tired),Constipation,Muscle cramps,Palpitations,Muscle spasms",Vertigo
5328,,"Fainting/Drowsiness,Nausea and vomiting,Confusion,Sleepiness,weakness,Lightheadedness,Blurred vision",Vertigo
5329,,"Nausea and vomiting,Convulsions (seizures),Confusion,Fatigue(Feeling Tired),Headache,Loss of appetite,Prolonged muscle spasms(tetany),Muscle cramps,Irritability,Restlessness,Muscle weakness",Vertigo
5330,,"Rapid heart rate,Convulsions (seizures),Headache,weakness,Excessive sweating,Difficulty sleeping,Trembling or twitching,Blurred vision,Difficulty in thinking,Double vision,Feeling nervous,Hunger",Vertigo
5331,,"Difficulty breathing,Difficulty swallowing liquids and solids,fever,Clumsy speech pattern (dysarthria),Difficulty swallowing -- choking easily, drooling, or gagging,neck pain,Tongue swelling or protrusion of the tongue out of the mouth,tooth pain,Neck swelling,Redness of the neck",Acne
5332,,"Blood in the urine,High blood pressure,general swelling,Foamy appearance of urine",Acne
5333,,"Headache,Joint pain,Stiffness in the neck,Malaise(general discomfortness,ill feeling or uneasiness),Fever with chills and sweating,Muscle pain",Acne
5334,,"Bloating or abdominal gas,diarrhea,Abdominal cramps,Stool abnormalities, including fatty stools that appear pale in color, frothy stools, and abnormally foul-smelling stools,Bulky stools",Acne
5335,,"Nausea and vomiting,Coma (lack of responsiveness),Convulsions (seizures),Blood in the stool,Headache,Yellowing of skin and whites of the eyes (jaundice),Fever with chills and sweating,Muscle pain,Anemia",Acne
5336,,"Nausea and vomiting,Convulsions (seizures),Stupor (lack of alertness),Cough,Decreased urine output,Fatigue(Feeling Tired),Shortness of breath,Headache,Anxiety,Decreased alertness,chest pain,Blurred vision,Restlessness,Weakness of an arm or leg,Changes in mental status, such as confusion, slow response or thinking, unable to focus, or sleepiness,Weakness or numbness of arms, legs, face,Problem concentrating",Acne
5337,,"Easy bruising and bleeding,Muscle stiffness,Muscle pain,dark urine,muscle rigidity,Rise in body temperature to 105°F (40.6°C) or higher",Acne
5338,,"Pain in the abdomen,Cough,Unintentional weight loss,Fatigue(Feeling Tired),Shortness of breath,Bloating or abdominal gas,Fever with chills and sweating,Chest pain, which worsens when you breathe in deeply (pleurisy)",Acne
5339,,"Difficulty swallowing liquids and solids,Hearing loss,Weakness of the face or facial asymmetry,fever,Ongoing drainage from the ear that is yellow or green and smells bad,Ear pain deep inside the ear, pain may get worse when you move your head,Itching of the ear or ear canal",Acne
5340,,"Cough,Fatigue(Feeling Tired),Shortness of breath,chest pain,Limited ability to tolerate exercise",Acne
5341,,"Coma (lack of responsiveness),Convulsions (seizures),Lethargy,Trouble feeding,Vomiting,Urine that smells like maple syrup",Urinary Tract Infection
5342,,"Small lower jaw,Loss of muscle tone (floppiness),Learning disabilities,Flat feet,Nearsightedness,A chest that sinks in or sticks out, called funnel chest (pectus excavatum) or pigeon breast (pectus carinatum),Highly arched palate and crowded teeth,Joints that are too flexible (but the elbows may be less flexible),Movement of the lens of the eye from its normal position (dislocation),Spine that curves to one side,Thin, narrow face",Urinary Tract Infection
5343,,"Hearing loss,Headache,fever,Ear discomfort or pain in one or both ears,Drainage from the ear,Redness of the ear or behind the ear,Swelling behind the ear, may cause ear to stick out or feel as if it is filled with fluid",Urinary Tract Infection
5344,,"Cough,fever,Conjunctivitis,Sore throat,Light sensitivity,Rashes,Runny nose,Muscle pain,Bloodshot eyes,Tiny white spots inside the mouth (Koplik spots)",Urinary Tract Infection
5345,,"Urinary incontinence,Straining to urinate,Abnormal strength and direction of urine stream,Bed wetting,Bleeding (hematuria) at end of urination,Visible narrowing of the urethral opening in boys",Urinary Tract Infection
5346,,"Cough,Shortness of breath,Hoarseness,fever,Night sweats,Coughing up blood,chest pain",Urinary Tract Infection
5347,,"Shortness of breath,fever,Malaise(general discomfortness,ill feeling or uneasiness),Chills,chest pain",Urinary Tract Infection
5348,,"Dry eye, which may lead to eye sores or infections,Swelling and redness of eyelid edges,Slight blurring of vision due to excess oil in tears,Frequent styes(bumps)",Urinary Tract Infection
5349,,"Decreased urine output,Blood in the urine,Changes in mental status or mood,general swelling,Decreased alertness,dark urine,Foamy appearance of urine",Urinary Tract Infection
5350,,"Fatigue(Feeling Tired),Loss of appetite,Urination changes, such as little or no urine, excessive urination at night, or urination that stops completely,general swelling,weight gain,Foamy appearance of urine",Urinary Tract Infection
5351,,"Nausea and vomiting,Hearing loss,Ringing (tinnitus) in the affected ear,Vertigo (sensation that surroundings are spinning) with nausea and vomiting,Pressure in the ear",Psoriasis
5352,,"Fainting/Drowsiness,Stupor (lack of alertness),weakness,Lightheadedness,Palpitations,Unconsciousness,Blood pressure drop with position that causes dizziness when standing",Fungal Infection
5353,,"Numbness and tingling of hands or feet,Loss of feeling (sensation) in hands and feet,Numbness or tingling or tingling in the thumb and next two or three fingers of one or both hands,Numbness or tingling of the palm of the hand,Pain in the wrist or hand in one or both hands,Decreased sensation, numbness, or tingling in the top of the foot or the outer part of the upper or lower leg,Pain in the hands or wrists due to tendon inflammation",Fungal Infection
5354,,"Loss of vision,Has a body image that is very distorted, is very focused on body weight or shape, and refuse to admit the danger of weight loss,Blurred vision,Cloudy, fuzzy, foggy, or filmy vision",Fungal Infection
5355,,"fever,Blood in the urine,Flank pain(between the ribs and hips),Chills,Abnormal urine color,Interruption of the urine stream,Signs of UTI (such as fever, pain when urinating, and need to urinate often),Changes in mental status, such as confusion, slow response or thinking, unable to focus, or sleepiness,Foul or strong urine odor,Pressure, pain, or spasms in your back or the lower part of your belly,dark urine",Fungal Infection
5356,,"Wide-set eyes with droopy eyelids,Convulsions (seizures),Headache,fever,Difficulty moving the eyes,Blurred vision,Prominent or bulging eyes,Double vision",Fungal Infection
5357,,"Pain in the abdomen,Unintentional weight loss,Headache,Weakness of the face or facial asymmetry,Bloating or abdominal gas,diarrhea,Constipation,Excessive gas,Pale color of the arm or leg (pallor),Stool abnormalities, including fatty stools that appear pale in color, frothy stools, and abnormally foul-smelling stools,Leakage of liquid or sudden episodes of watery diarrhea in someone who has chronic (long-term) constipation",Fungal Infection
5358,,"Fatigue(Feeling Tired),fever,Bone pain or tenderness,Chills,Swelling (edema) in any area of the body, especially in the legs,Discoloration of skin areas exposed to sunlight,Fatigue, reduced exercise ability,Swelling, called generalized edema, from fluids held in the body,Discoloration (blue or black if skin is affected; red or bronze if the affected area is beneath the skin)",Fungal Infection
5359,,"Rapid heart rate,Sleep apnea,Fast or irregular heartbeat,Blurred vision,Slight blurring of vision due to excess oil in tears",Fungal Infection
5360,,"Convulsions (seizures),Confusion,Headache,Walking problems (unsteady gait) that can lead to falls,Throbbing headache,Walking difficulty,Nervous system changes that may start suddenly, including confusion, delirium, double vision, decreased vision, sensation changes, speech problems, weakness, or paralysis,Episodes of confusion",Fungal Infection
5361,,"Fainting/Drowsiness,Nausea and vomiting,Stupor (lack of alertness),Headache,Unconsciousness,Numbness and tingling of hands or feet,Vomiting,Numbness or tingling or tingling in the thumb and next two or three fingers of one or both hands,Numbness or tingling of the palm of the hand,Decreased memory,Memory loss (amnesia) of events before the injury or right after",Fungal Infection
5362,,"Shallow breathing,Slow and labored breathing,Difficulty breathing,Clumsy speech pattern (dysarthria),Doesn't pay attention to details or makes careless mistakes,Faulty judgment,Poor judgment,Wide (dilated) pupils and no movement in one or both eyes,Dilated pupils",Allergy
5363,,"Pain in the abdomen,Fatigue(Feeling Tired),Loss of appetite,Heavy menstrual periods,Pelvic pain during intercourse,Vaginal discharge,Abnormal vaginal bleeding between periods, after intercourse, or after menopause,Vaginal discharge that does not stop, and may be pale, watery, pink, brown, bloody, or foul-smelling,Vaginal bleeding after douching or intercourse,Abnormal vaginal bleeding after menopause or between periods,Pain or burning with urination,Long-term pelvic or low back pain that may occur at any time and last for 6 months or more",Allergy
5364,,"Heavy menstrual periods,heavy menstrual bleeding,Painful menstrual periods,Abnormal or increased menstrual bleeding in females,Vaginal discharge,Abnormal vaginal bleeding between periods, after intercourse, or after menopause,Abnormal vaginal bleeding after menopause or between periods,Painful sexual intercourse,Menstrual bleeding that is not regular or predictable,Abnormal vaginal discharge with greenish, yellow or foul smelling discharge",Allergy
5365,,"Fainting/Drowsiness,Headache,Stiffness in the neck,Swollen lymph nodes in the neck, under arms, and groin,Changes in muscle tone, especially muscle spasms and uncontrolled movements,Prolonged muscle spasms(tetany),Muscle spasms,Vaginal discharge that does not stop, and may be pale, watery, pink, brown, bloody, or foul-smelling,Vaginal bleeding after douching or intercourse,Abnormal vaginal bleeding after menopause or between periods,Neck stiffness that gets worse over time",Allergy
5366,,"Belly button that sticks out,Bulge in the groin or scrotum,Delayed sexual maturity,Delayed teeth,Downward palpebral slant to eyes ,Hairline with a ""widow's peak"",Mildly sunken chest (pectus excavatum),Mild to moderate cognitive problems,Mild to moderate short height,Poorly developed middle section of the face,Short fingers and toes with mild webbing,Single crease in the palm of the hand,Small nose with nostrils tipped forward,Testicles that have not come down (undescended),Top portion of the ear folded over slightly,Wide-set eyes with droopy eyelids",Allergy
5367,,"Wide-set eyes with droopy eyelids,Absent or small knuckles,Cleft palate,Deformed ears,Inability to fully extend the joints from birth,Narrow shoulders,Pale skin,Triple-jointed thumbs",Allergy
5368,,"Bluish skin(fingernails and lips),Difficulty breathing,Excessive sweating,Swelling of legs,Swelling of abdomen,Blue lips and fingernails,Failure to gain weight,Pale color of the arm or leg (pallor)",Allergy
5369,,"Rapid heart rate,Bluish skin(fingernails and lips),Difficulty breathing,Excessive sweating,Rapid respiratory rate,Heart murmur,Swelling of legs,Swelling of abdomen,Blue lips and fingernails,Failure to gain weight,Pale color of the arm or leg (pallor)",Allergy
5370,,"Decreased muscle tone at birth,Excess skin at the nape of the neck,Flattened nose,Separated joints between the bones of the skull (sutures),Single crease in the palm of the hand.1,Small ears,Small mouth,Upward slanting eyes,Wide, short hands with short fingers,White spots on the colored part of the eye (Brushfield spots)",Allergy
5371,,"Sounding as though they are mumbling,Speaking softly or in a whisper,Speaking in a nasal or stuffy, hoarse, strained, or breathy voice",Allergy
5372,,"Errors in grammar and punctuation,Poor handwriting,Poor spelling,Poorly organized writing,The need to say words aloud when writing",GERD
5373,,"fever,Loss of appetite,Fever-- usually low-grade,Abdominal cramps,Excessive gas,Vomiting",GERD
5374,,"Fainting/Drowsiness,Hearing loss,Ear discomfort or pain in one or both ears,Sensation of fullness or stuffiness in the ears",GERD
5375,,"Cough,Lethargy,Hearing loss,Loss of appetite,diarrhea,Nasal congestion,Vomiting,Ear discomfort or pain in one or both ears,Sensation of fullness or stuffiness in the ears,Drainage of fluid from the ear",GERD
5376,,"Pain in the abdomen,Fatigue(Feeling Tired),Headache,weakness,fever,diarrhea,Chills,Sore throat,Rashes,Vomiting,Muscle pain",GERD
5377,,"Cough,Swelling of abdomen,chest pain,Bloody sputum,Pain in the upper right part of the abdomen,Severe allergic reaction",GERD
5378,,"Headache,Sore throat,Rashes,chest pain,Croup-like (barking) cough,Mouth sores",GERD
5379,,"Cleft palate,Large forehead and flat bridge of the nose,Abnormal nails,Abnormal or missing teeth, or fewer than normal number of teeth,Decreased skin color (pigment),Low nasal bridge,Thin, sparse hair,Learning disabilities,Poor hearing,Poor vision with decreased tear production,Weakened immune system",GERD
5380,,"Joint pain,Back pain,Easy bruising and bleeding,Vision problems, or functional blindness,Double-jointedness,Easy scarring and poor wound healing,Flat feet,Increased joint mobility, joints popping, early arthritis,Joint dislocation,Very soft and velvety skin",GERD
5381,,"Fainting/Drowsiness,Bluish skin(fingernails and lips),Fatigue(Feeling Tired),Shortness of breath,Palpitations,Coughing up blood,chest pain,Stroke symptoms,Bluish color to the lips and face (cyanosis),Rounded fingernails and toenails (clubbing),Numbness and tingling of fingers and toes,Swelling in the joints caused by too much uric acid (gout)",GERD
5382,,"Delayed teeth,Cleft palate,Epispadias or undescended testicle (cryptorchidism),Extra fingers (polydactyly),Limited range of motion,Nail problems, including missing or deformed nails,Short arms and legs, especially forearm and lower leg,Short height, between 3.5 to 5 feet (1 to 1.5 meters) tall,Sparse, absent, or fine textured hair,Tooth abnormalities, such as peg teeth, widely-spaced teeth,Teeth present at birth (natal teeth)",Chronic Cholestasis
5383,,"Unintentional weight loss,Shortness of breath,Excessive sweating,fever,Malaise(general discomfortness,ill feeling or uneasiness),Chills,Chest pain, which worsens when you breathe in deeply (pleurisy),Dry cough",Chronic Cholestasis
5384,,"Fainting/Drowsiness,Confusion,Headache,Loss of appetite,Fever-- usually low-grade,Light sensitivity,Vomiting,Poor temper control,Clumsiness",Chronic Cholestasis
5385,,"heavy menstrual bleeding,Abnormal vaginal bleeding between periods, after intercourse, or after menopause,Menstrual bleeding that is not regular or predictable,Trouble getting or staying pregnant (infertility)",Chronic Cholestasis
5386,,"Pain with sexual intercourse,Pain or burning with urination,Painful periods -- Cramps or pain in your lower belly may begin a week or two before your period, cramps may be steady and range from dull to severe,Pain with bowel movements,Long-term pelvic or low back pain that may occur at any time and last for 6 months or more",Chronic Cholestasis
5387,,"fever,Fever-- usually low-grade,Swelling of abdomen,Constipation,Abnormal vaginal bleeding between periods, after intercourse, or after menopause,Abdominal pain and tenderness in the lower abdomen,Pain with bowel movements",Chronic Cholestasis
5388,,"Nasal congestion,Dry mouth,Bad breath,Cracked lips",Chronic Cholestasis
5389,,"Blood in the urine,Urinary incontinence,Inability to urinate except in certain positions,Frequent and strong urge to urinate,Dribbling at the end of urinating,Incomplete emptying of your bladder,Needing to urinate 2 or more times per night,Slowed or delayed start of the urinary stream,Weak urine stream",Chronic Cholestasis
5390,,"Pain in the abdomen,Blood in the stool,Loss of appetite,diarrhea,Vomiting",Chronic Cholestasis
5391,,"Loss of vision,Red eyes,Tearing (watery eyes),Eye pain",Chronic Cholestasis
5392,,"Carpal tunnel syndrome,Muscle pain,Tenderness and swelling of the skin on the arms, legs, or sometimes the joints (most often on both sides of the body),Arthritis,Thickened skin that looks puckered",Drug Reaction
5393,,"Skin redness,Warm skin in the area of redness,Tender or sore skin,Warm skin in the affected area",Drug Reaction
5394,,"Hair loss,Nail problems, including missing or deformed nails,Blisters around the eyes and nose,Blisters in or around the mouth and throat, causing feeding problems or swallowing difficulty,Blisters on the skin as a result of minor injury or temperature change, especially of the feet,Blistering that is present at birth,Hoarse cry, cough, or other breathing problems,Tiny white bumps on previously injured skin,Mitten-like hands or feet,Thickening of skin on hands and feet",Drug Reaction
5395,,"Nausea and vomiting,Lethargy,Headache,Weakness of the face or facial asymmetry,Back pain,Fever-- usually low-grade,Urination difficulty,Decreased ability to feel touch or pain (sensation),Bowel or bladder incontinence,Decreased ability to move any part of the body",Drug Reaction
5396,,"Fainting/Drowsiness,Nausea and vomiting,Convulsions (seizures),Confusion,Headache,weakness,Unconsciousness,Enlarged pupil in one eye",Drug Reaction
5397,,"Bluish skin(fingernails and lips),Difficulty breathing,Hoarseness,fever,Fever-- usually low-grade,Difficulty swallowing -- choking easily, drooling, or gagging,Abnormal breathing sounds (stridor)",Drug Reaction
5398,,"violent shaking and loss of alertness,staring spells,Sensations may be tingling, smelling an odor that is not actually there, or emotional changes",Drug Reaction
5399,,"Light sensitivity,Eye pain,A pink or purple color to the normally white part of the eye,Eye tenderness,Tearing of the eye",Drug Reaction
5400,,"Tearing (watery eyes),Waxy skin bumps,Firm skin bumps",Drug Reaction
5401,,"Redness around the skin eruptions,Swollen lymph nodes in the neck, under arms, and groin,general swelling,Throbbing pain with itching or burning sensation,Fluid-filled blisters",Drug Reaction
5402,,"Cough,Headache,Joint pain,Fever-- usually low-grade,Sore throat,Itching,Runny nose,Skin sores (lesions)",Peptic Ulcer Disease
5403,,"Rapid heart rate,Dehydration,Swelling of legs,Swelling of arms,Itching,Thickened skin that looks puckered,Redness over 80% to 90% of the body,Scaly skin patches,Loss of temperature regulation by the body",Peptic Ulcer Disease
5404,,"Heartburn,Unintentional weight loss,Vomiting blood,Backward movement of food through the esophagus and possibly mouth (regurgitation)",Peptic Ulcer Disease
5405,,"Cough,Difficulty swallowing liquids and solids,Heartburn,Hoarseness,Sore throat",Peptic Ulcer Disease
5406,,"Nasal congestion,Problems with smell,Runny nose,Headache between the eyes",Peptic Ulcer Disease
5407,,"Problems smiling, grimacing, or making facial expressions,Eye blinking,Mouth twitching,Nose wrinkling,Squinting",Peptic Ulcer Disease
5408,,"Drooping eyelids,Inability to whistle due to weakness of the cheek muscles,Decreased facial expression due to weakness of facial muscles,Depressed or angry facial expression,Difficulty pronouncing words,Difficulty reaching above the shoulder level",Peptic Ulcer Disease
5409,,"Convulsions (seizures),Lack of coordination,diarrhea,Constipation,Dry eye, which may lead to eye sores or infections,Lack of tears,Swallowing problems in infants, resulting in aspiration pneumonia or poor growth,Breath-holding spells, resulting in fainting,Inability to feel pain and changes in temperature (can lead to injuries),Unusually smooth, pale tongue surface and lack of taste buds and decrease in sense of taste",Peptic Ulcer Disease
5410,,"Fatty skin deposits called xanthomas over parts of the hands, elbows, knees, ankles and around the cornea of the eye,Cholesterol deposits in the eyelids (xanthelasmas),Cramping of one or both calves when walking,Chest pain (angina) or other signs of coronary artery disease may be present at a young age,Sudden stroke-like symptoms such as trouble speaking, drooping on one side of the face, weakness of an arm or leg, and loss of balance",Peptic Ulcer Disease
5411,,"Pain in the abdomen,Nausea and vomiting,Loss of appetite,Yellowing of skin and whites of the eyes (jaundice),Muscle twitching,Abnormal coloring of the retina,Enlarged lymph nodes, liver, or spleen,Yellow deposits of fatty material in the skin called xanthomas, these growths may appear on the back, buttocks, soles of the feet, or ankles, knees and elbows,Failure to thrive,High triglyceride levels in the blood,Chronic inflammation of the pancreas",Peptic Ulcer Disease
5412,,"Pain in the abdomen,Joint pain,Fever with chills and sweating,Chest pain, which worsens when you breathe in deeply (pleurisy),Skin sores (lesions) that are red and swollen and range from 5 to 20 cm in diameter",AIDS
5413,,"Increased need to urinate,Dehydration,Bone pain or tenderness,Excessive thirst,Muscle weakness,Increased risk of fracture due to decreased bone density",AIDS
5414,,"Crossed eyes,Blurred vision,Eye pain,Eye strain,Headache while reading",AIDS
5415,,"Bloating or abdominal gas,Abdominal cramps,Leakage of liquid or sudden episodes of watery diarrhea in someone who has chronic (long-term) constipation,Rectal bleeding,Small, semi-formed stools,Straining when trying to pass stools",AIDS
5416,,"Unintentional weight loss,Fatigue(Feeling Tired),Loss of appetite,Malaise(general discomfortness,ill feeling or uneasiness),Red eyes,Weakness of an arm or leg,Joint swelling,Skin ulcers,Recurrent infections",AIDS
5417,,"Pain in the abdomen,Nausea and vomiting,Sudden groin or thigh pain",AIDS
5418,,"Pain in the abdomen,Fainting/Drowsiness,Clammy skin,Nausea and vomiting,Rapid heart rate,Shock",AIDS
5419,,"Bleeding or spotting from the vagina between periods,Periods that occur less than 28 days apart (more common) or more than 35 days apart,Time between periods changes each month,Heavier bleeding,Bleeding that lasts for more days than normal or for more than 7 days,Tenderness and dryness of the vagina,Hot flashes,Mood swings",AIDS
5420,,"Fainting/Drowsiness,Clammy skin,Nausea and vomiting,Shallow breathing,Slow and labored breathing,Stopped breathing or respiratory arrest,Very small pupils,Low blood pressure,Coma (lack of responsiveness),Convulsions (seizures),Stupor (lack of alertness),Bluish skin(fingernails and lips),Spasms of the stomach and intestines,Liver failure,Kidney failure,Excessive sweating",AIDS
5421,,"Pain in the abdomen,Fainting/Drowsiness,Nausea and vomiting,Low blood pressure,Coma (lack of responsiveness),Stupor (lack of alertness),Person may have a fruity odor,Sweet taste in mouth,Feeling of drunkenness,Lack of coordination,Difficulty breathing,Increased need to urinate",AIDS
5422,,"Backflow (regurgitation) of food,Chest pain, which may increase after eating, or may be felt as pain in the back, neck, and arms,Cough,Difficulty swallowing liquids and solids,Heartburn,Unintentional weight loss",Diabetes 
5423,,"Very short trunk, arms, legs, and neck,Head appears large in relation to the trunk,Small lower jaw,Narrow chest",Diabetes 
5424,,"Unusually large head,Large forehead and flat bridge of the nose,Crowded or crooked teeth,Short stature (well below the average height for a person of the same age and sex),Average size trunk with short arms and legs (especially the upper arms and thighs),Bowed legs,Limited range of motion of the elbows,Spine curvatures called kyphosis and lordosis,Short fingers with an extra space between the ring and middle finger (trident hand),Decreased muscle tone in infants",Diabetes 
